doi,field,crossref,openalex,s2,label
10.1016/j.egyr.2021.11.015,authors,Xiwen Liu; Jia Li; Zhuohong Yao; Zhongyan Wang; Ruicai Si; Yunpeng Diao,Xiwen Liu; Li Jia; Zhuohong Yao; Zhongren Wang; Ruicai Si; Yunpeng Diao,Xiwen Liu; Jia Li; Zhuohong Yao; Zhongyang Wang; Ruicai Si; Yunpeng Diao,variant
10.1016/j.scs.2018.11.002,year,2019,2018,2019,variant
10.1016/j.scs.2018.11.002,authors,M. Rahimi; M.J. Hosseini; M. Gorzin,M. Rahimi; M.J. Hosseini; M. Gorzin,M. Rahimi; M. Hosseini; M. Gorzin,variant
10.1016/j.enbuild.2018.04.031,authors,Tao Wen; Lin Lu; Chuanshuai Dong,Tao Wen; Lin Lu; Chuanshuai Dong,T. Wen; Lin Lu; Chuanshuai Dong,variant
10.1016/j.apenergy.2021.118278,year,2022,2021,2022,variant
10.1016/j.apenergy.2021.118278,authors,Yang Yang; Jun Li; Yingrui Yang; Linghan Lan; Run Liu; Qian Fu; Liang Zhang; Qiang Liao; Xun Zhu,Yang Yang; Jun Li; Yingrui Yang; Linghan Lan; Run Liu; Qian Fu; Liang Zhang; Qiang Liao; Xun Zhu,Yang Yang; Jun Li; Yingrui Yang; Linghan Lan; Run Liu; Q. Fu; Liang Zhang; Q. Liao; Xun Zhu,variant
10.1016/j.enbuild.2019.109448,authors,Kuniaki Mihara; Chandra Sekhar; Yuichi Takemasa; Bertrand Lasternas; Kwok Wai Tham,Kuniaki Mihara; Chandra Sekhar; Yuichi Takemasa; Bertrand Lasternas; Kwok Wai Tham,K. Mihara; C. Sekhar; Y. Takemasa; B. Lasternas; K. Tham,variant
10.1016/j.egyr.2018.01.005,authors,Fatima Merza; Aya Fawzy; Inas AlNashef; Sulaiman Al-Zuhair; Hanifa Taher,Fatima Merza; Aya Fawzy; Inas M. AlNashef; Sulaiman Al‐Zuhair; Hanifa Taher,Fatima Merza; A. Fawzy; I. Alnashef; S. Al‐Zuhair; Hanifa Taher,variant
10.1016/j.scs.2020.102377,pages,102377,102377-102377,102377,variant
10.1002/csr.1374,title,Corporate Adaptation Behaviour to Deal With Climate Change: The Influence of Firm‐Specific Interpretations of Physical Climate Impacts,Corporate Adaptation Behaviour to Deal With Climate Change: The Influence of Firm‐Specific Interpretations of Physical Climate Impacts,Corporate adaptation behaviour to deal with climate change: The influence of firm-specific interpretations of physical climate impacts,variant
10.1002/csr.1374,year,2016,2015,2016,variant
10.1002/csr.1374,authors,Federica Gasbarro; Jonatan Pinkse,Federica Gasbarro; Jonatan Pinkse,F. Gasbarro; J. Pinkse,variant
10.1002/bse.1934,year,2017,2016,2017,variant
10.1002/bse.1934,authors,Anna Katharina Provasnek; Erwin Schmid; Bernhard Geissler; Gerald Steiner,Anna Katharina Provasnek; Erwin Schmid; Bernhard Geißler; Gerald Steiner,A. K. Provasnek; E. Schmid; Bernhard Geissler; Gerald Steiner,variant
10.2139/ssrn.2585748,title,Reconsidering Copyright,Reconsidering Copyright,Reconsidering Copyright: A Spatial Model of Differentiated Competition and Infringement,substantive
10.2139/ssrn.2585748,year,2015,2015,2016,variant
10.2139/ssrn.2585748,journal,SSRN Electronic Journal,SSRN Electronic Journal,,substantive
10.2139/ssrn.2585748,authors,Thomas Randolph Beard; George S. Ford; Gilad Sorek; Lawrence J. Spiwak,T. Randolph Beard; George S. Ford; Gilad Sorek; Lawrence J. Spiwak,T. Beard; George S. Ford; G. Sorek; L. J. Spiwak,variant
10.1002/csr.1468,journal,Corporate Social Responsibility and Environmental Management,Corporate Social Responsibility and Environmental Management,,substantive
10.1002/csr.1468,volume,25,25,,substantive
10.1002/smj.2131,year,2014,2013,2012,substantive
10.1002/smj.2131,journal,Strategic Management Journal,Strategic Management Journal,Southern Medical Journal,substantive
10.1002/smj.2131,authors,Beiting Cheng; Ioannis Ioannou; George Serafeim,Beiting Cheng; Ioannis Ioannou; George Serafeim,Beiting Cheng; I. Ioannou; G. Serafeim,variant
10.1016/j.jwb.2015.08.002,title,From the Editor: Why we need phenomenon-based research in international business,From the Editor: Why we need phenomenon-based research in international business,From the Editor: Why we need phenomenon-based research in international business☆,variant
10.1016/j.jwb.2015.08.002,authors,Jonathan P. Doh,Jonathan P. Doh,J. Doh,variant
10.1111/acfi.12345,year,2019,2018,2019,variant
10.1111/acfi.12345,journal,Accounting &amp; Finance,Accounting and Finance,Accounting and Finance,variant
10.2139/ssrn.3055430,journal,SSRN Electronic Journal,SSRN Electronic Journal,Social Science Research Network,substantive
10.1111/jacf.12272,authors,Craig Doidge; Kathleen M. Kahle; G. Andrew Karolyi; René M. Stulz,Craig Doidge; Kathleen M. Kahle; George Andrew Karolyi; René M. Stulz,Craig Doidge; Kathleen M. Kahle; Andrew Karolyi,variant
10.1002/bse.2260,year,2019,2018,2018,variant
10.1002/bse.2260,authors,Benjamin S. Thompson,Benjamin S. Thompson,B. S. Thompson,variant
10.18653/v1/D19-1413,journal,Proceedings of the 2019 Conference on Empirical Methods in Natural Language Processing and the 9th International Joint Conference on Natural Language Processing (EMNLP-IJCNLP),,Conference on Empirical Methods in Natural Language Processing,substantive
10.18653/v1/2020.acl-main.747,year,2020,2020,2019,variant
10.18653/v1/2020.acl-main.747,journal,Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,,ArXiv,substantive
10.18653/v1/2020.acl-main.747,authors,Alexis Conneau; Kartikay Khandelwal; Naman Goyal; Vishrav Chaudhary; Guillaume Wenzek; Francisco Guzmán; Edouard Grave; Myle Ott; Luke Zettlemoyer; Veselin Stoyanov,Alexis Conneau; Kartikay Khandelwal; Naman Goyal; Vishrav Chaudhary; Guillaume Wenzek; Francisco Guzmán; Édouard Grave; Myle Ott; Luke Zettlemoyer; Veselin Stoyanov,Alexis Conneau; Kartikay Khandelwal; Naman Goyal; Vishrav Chaudhary; Guillaume Wenzek; Francisco (Paco) Guzmán; Edouard Grave; Myle Ott; Luke Zettlemoyer; Veselin Stoyanov,variant
10.18653/v1/2020.emnlp-main.435,journal,Proceedings of the 2020 Conference on Empirical Methods in Natural Language Processing (EMNLP),,ArXiv,substantive
10.18653/v1/2020.emnlp-main.436,journal,Proceedings of the 2020 Conference on Empirical Methods in Natural Language Processing (EMNLP),,ArXiv,substantive
10.18653/v1/2020.emnlp-main.436,authors,Miguel Ballesteros; Rishita Anubhai; Shuai Wang; Nima Pourdamghani; Yogarshi Vyas; Jie Ma; Parminder Bhatia; Kathleen McKeown; Yaser Al-Onaizan,Miguel Ballesteros; Rishita Anubhai; Shuai Wang; Nima Pourdamghani; Yogarshi Vyas; Jie Ma; Parminder Bhatia; Kathleen McKeown; Yaser Al-Onaizan,Miguel Ballesteros; Rishita Anubhai; Shuai Wang; Nima Pourdamghani; Yogarshi Vyas; Jie Ma; Parminder Bhatia; K. McKeown; Yaser Al-Onaizan,variant
10.18653/v1/2020.emnlp-main.451,journal,Proceedings of the 2020 Conference on Empirical Methods in Natural Language Processing (EMNLP),,Conference on Empirical Methods in Natural Language Processing,substantive
10.18653/v1/2020.emnlp-main.445,journal,Proceedings of the 2020 Conference on Empirical Methods in Natural Language Processing (EMNLP),,ArXiv,substantive
10.18653/v1/2020.emnlp-main.445,authors,David Gaddy; Dan Klein,David Gaddy; Dan Klein,David Gaddy; Dana Klein,variant
10.18653/v1/2020.emnlp-main.454,journal,Proceedings of the 2020 Conference on Empirical Methods in Natural Language Processing (EMNLP),,Conference on Empirical Methods in Natural Language Processing,substantive
10.18653/v1/2020.emnlp-main.454,authors,Sudipta Kar; Gustavo Aguilar; Mirella Lapata; Thamar Solorio,Sudipta Kar; Gustavo Aguilar; Mirella Lapata; Thamar Solorio,Sudipta Kar; Gustavo Aguilar; Mirella Lapata; T. Solorio,variant
10.18653/v1/2020.emnlp-main.453,journal,Proceedings of the 2020 Conference on Empirical Methods in Natural Language Processing (EMNLP),,Conference on Empirical Methods in Natural Language Processing,substantive
10.18653/v1/2020.emnlp-main.457,title,RethinkCWS: Is Chinese Word Segmentation a Solved Task?,RethinkCWS: Is Chinese Word Segmentation a Solved Task?,Is Chinese Word Segmentation a Solved Task? Rethinking Neural Chinese Word Segmentation,substantive
10.18653/v1/2020.emnlp-main.457,journal,Proceedings of the 2020 Conference on Empirical Methods in Natural Language Processing (EMNLP),,Conference on Empirical Methods in Natural Language Processing,substantive
10.18653/v1/2021.emnlp-main.443,journal,Proceedings of the 2021 Conference on Empirical Methods in Natural Language Processing,Proceedings of the 2021 Conference on Empirical Methods in Natural Language Processing,Conference on Empirical Methods in Natural Language Processing,substantive
10.18653/v1/2021.emnlp-main.459,year,2021,2021,2020,variant
10.18653/v1/2021.emnlp-main.459,journal,Proceedings of the 2021 Conference on Empirical Methods in Natural Language Processing,Proceedings of the 2021 Conference on Empirical Methods in Natural Language Processing,Conference on Empirical Methods in Natural Language Processing,substantive
10.3390/risks7010029,authors,Martin Leo; Suneel Sharma; K. Maddulety,Martin Leo; Suneel Sharma; K. Maddulety,M. Leo; Suneel Sharma; K. Maddulety,variant
10.1016/j.eswa.2018.09.044,year,2019,2018,2019,variant
10.1016/j.eswa.2018.09.044,journal,Expert Systems with Applications,Expert Systems with Applications,Expert Syst. Appl.,substantive
10.1016/j.eswa.2018.09.044,authors,Chandrawati Putri Wulandari; Chao Ou-Yang; Han-Cheng Wang,Chandrawati Putri Wulandari; Chao Ouyang; Hancheng Wang,Chandrawati Putri Wulandari; C. Ou-Yang; Han-Cheng Wang,variant
10.1016/j.asoc.2020.106263,journal,Applied Soft Computing,Applied Soft Computing,Appl. Soft Comput.,substantive
10.1016/j.asoc.2020.106263,pages,106263,106263-106263,106263,variant
10.1016/j.asoc.2020.106263,authors,Xolani Dastile; Turgay Celik; Moshe Potsane,Xolani Dastile; Turgay Çelik; Moshe Moses Potsane,X. Dastile; T. Çelik; M. Potsane,variant
10.1016/j.eswa.2019.113120,year,2020,2019,2020,variant
10.1016/j.eswa.2019.113120,journal,Expert Systems with Applications,Expert Systems with Applications,Expert Syst. Appl.,substantive
10.1016/j.eswa.2019.113120,pages,113120,113120-113120,113120,variant
10.1016/j.eswa.2019.113120,authors,Khalid Mahmood Malik; Madan Krishnamurthy; Mazen Alobaidi; Maqbool Hussain; Fakhare Alam; Ghaus Malik,Khalid Mahmood Malik; Madan Krishnamurthy; Mazen Alobaidi; Maqbool Hussain; Fakhare Alam; Ghaus M. Malik,K. Malik; Madan Krishnamurthy; Mazen Alobaidi; M. Hussain; Fakhare Alam; G. Malik,variant
10.1016/j.ijforecast.2021.03.012,year,2021,2021,2019,substantive
10.1016/j.ijforecast.2021.03.012,journal,International Journal of Forecasting,International Journal of Forecasting,ArXiv,substantive
10.1016/j.ijforecast.2021.03.012,volume,37,37,abs/1912.09363,substantive
10.1016/j.ijforecast.2021.03.012,authors,Bryan Lim; Sercan Ö. Arık; Nicolas Loeff; Tomas Pfister,Bryan Lim; Sercan Ö. Arık; Nicolas Loeff; Tomas Pfister,Bryan Lim; Sercan Ö. Arik; Nicolas Loeff; Tomas Pfister,variant
10.1016/j.eswa.2021.115537,year,2021,2021,2020,variant
10.1016/j.eswa.2021.115537,journal,Expert Systems with Applications,Expert Systems with Applications,Expert Syst. Appl.,substantive
10.1016/j.eswa.2021.115537,pages,115537,115537-115537,115537,variant
10.1016/j.ejor.2021.06.021,year,2022,2021,2019,substantive
10.1016/j.ejor.2021.06.021,journal,European Journal of Operational Research,European Journal of Operational Research,Eur. J. Oper. Res.,substantive
10.1016/j.ejor.2021.06.021,authors,Xinwei Chen; Marlin W. Ulmer; Barrett W. Thomas,Xinwei Chen; Marlin W. Ulmer; Barrett W. Thomas,Xinwei Chen; M. Ulmer; Barrett W. Thomas,variant
10.3390/jrfm16120496,authors,Nicolas Suhadolnik; Jo Ueyama; Sergio Da Silva,Nicolas Suhadolnik; Jó Ueyama; Sérgio Da Silva,Nicolas Suhadolnik; Jó Ueyama; Sergio Da Silva,variant
10.3390/risks12110174,authors,Victor Chang; Sharuga Sivakulasingam; Hai Wang; Siu Tung Wong; Meghana Ashok Ganatra; Jiabin Luo,Victor Chang; Sharuga Sivakulasingam; Hai Wang; Siu Tung Wong; Meghana Ashok Ganatra; Jiabin Luo,Victor I. Chang; Sharuga Sivakulasingam; Hai Wang; S. Wong; M. Ganatra; Jiabin Luo,variant
10.1111/joes.12561,year,2024,2023,2023,variant
10.1111/joes.12561,authors,Bao Trung Hoang; Cesario Mateus,Bao Trung Hoang; Cesário Mateus,B. Hoang; Cesario Mateus,variant
10.1016/j.eswa.2021.114755,journal,Expert Systems with Applications,Expert Systems with Applications,Expert Syst. Appl.,substantive
10.1016/j.eswa.2021.114755,pages,114755,114755-114755,114755,variant
10.1016/j.eswa.2021.114755,authors,Ülkü Öztürk; Hasan Alp Boz; Selim Balcisoy,Ülkü Öztürk; Hasan Alp Boz; Selim Balcısoy,Ülkü Öztürk; H. Boz; Selim Balcisoy,variant
10.1007/978-3-030-32251-9_42,journal,Lecture Notes in Computer Science,Lecture notes in computer science,Medical image computing and computer-assisted intervention : MICCAI ... International Conference on Medical Image Computing and Computer-Assisted Intervention,substantive
10.1007/978-3-030-32251-9_42,pages,384-393,384-393,384 - 393,variant
10.1007/978-3-030-32251-9_42,authors,Zongwei Zhou; Vatsal Sodha; Md Mahfuzur Rahman Siddiquee; Ruibin Feng; Nima Tajbakhsh; Michael B. Gotway; Jianming Liang,Zongwei Zhou; Vatsal Sodha; Md Mahfuzur Rahman Siddiquee; Ruibin Feng; Nima Tajbakhsh; Michael B. Gotway; Jianming Liang,Zongwei Zhou; V. Sodha; M. R. Siddiquee; Ruibin Feng; Nima Tajbakhsh; M. Gotway; Jianming Liang,variant
10.1038/s41591-020-0898-0,pages,819-820,819-820,819 - 820,variant
10.1038/s41591-020-0898-0,authors,Sarah E. Wakeman; Traci C. Green; Josiah Rich,Sarah E. Wakeman; Traci C. Green; Josiah D. Rich,S. Wakeman; Traci C. Green; J. Rich,variant
10.1007/978-3-031-16443-9_26,journal,Lecture Notes in Computer Science,Lecture notes in computer science,International Conference on Medical Image Computing and Computer-Assisted Intervention,substantive
10.1007/978-3-031-16443-9_26,authors,Chenchu Xu; Dong Zhang; Yuhui Song; Leonardo Kayat Bittencourt; Sree Harsha Tirumani; Shuo Li,Chenchu Xu; Dong Zhang; Yuhui Song; Leonardo Kayat Bittencourt; Sree Harsha Tirumani; Shuo Li,Chenchu Xu; Dong Zhang; Yuhui Song; L. Bittencourt; S. Tirumani; Shuo Li,variant
10.1109/CVPR52688.2022.02007,year,2022,2022,2021,variant
10.1109/CVPR52688.2022.02007,authors,Yucheng Tang; Dong Yang; Wenqi Li; Holger R. Roth; Bennett Landman; Daguang Xu; Vishwesh Nath; Ali Hatamizadeh,Yucheng Tang; Dong Yang; Wenqi Li; Holger R. Roth; Bennett A. Landman; Daguang Xu; Vishwesh Nath; Ali Hatamizadeh,Yucheng Tang; Dong Yang; Wenqi Li; H. Roth; B. Landman; Daguang Xu; V. Nath; Ali Hatamizadeh,variant
10.1038/s41586-023-05881-4,authors,Michael Moor; Oishi Banerjee; Zahra Shakeri Hossein Abad; Harlan M. Krumholz; Jure Leskovec; Eric J. Topol; Pranav Rajpurkar,Michael Moor; Oishi Banerjee; Zahra Shakeri Hossein Abad; Harlan M. Krumholz; Jure Leskovec; Eric J. Topol; Pranav Rajpurkar,Michael Moor; Oishi Banerjee; Zahra F H Abad; H. Krumholz; J. Leskovec; E. Topol; P. Rajpurkar,variant
10.1038/s41467-024-44824-z,year,2024,2024,2023,variant
10.1038/s41467-024-44824-z,authors,Jun Ma; Yuting He; Feifei Li; Lin Han; Chenyu You; Bo Wang,Jun Ma; Yuting He; Feifei Li; Lin Han; Chenyu You; Bo Wang,Jun Ma; Yuting He; Feifei Li; Li-Jun Han; Chenyu You; Bo Wang,variant
10.1016/j.media.2024.103201,year,2024,2024,2023,variant
10.1016/j.media.2024.103201,pages,103201,103201-103201,"
          103201
        ",variant
10.1016/j.media.2024.103201,authors,Haoran Wang; Qiuye Jin; Shiman Li; Siyu Liu; Manning Wang; Zhijian Song,Haoran Wang; Qiuye Jin; Shiman Li; Siyu Liu; Manning Wang; Zhijian Song,Haoran Wang; Q. Jin; Shiman Li; Siyu Liu; Manning Wang; Zhijian Song,variant
10.3390/buildings14113446,authors,Mukilan Poyyamozhi; Balasubramanian Murugesan; Narayanamoorthi Rajamanickam; Mohammad Shorfuzzaman; Yasser Aboelmagd,Mukilan Poyyamozhi; Balasubramanian Murugesan; R Narayanamoorthi; Mohammad Shorfuzzaman; Yasser Aboelmagd,Mukilan Poyyamozhi; Balasubramanian Murugesan; N. Rajamanickam; Mohammad Shorfuzzaman; Yasser Aboelmagd,variant
10.1080/14786451.2025.2455134,authors,Konstantinos Chatzikonstantinidis; Nicholas Afxentiou; Effrosyni Giama; Paris A. Fokaides; Agis M. Papadopoulos,Konstantinos Chatzikonstantinidis; Nicholas Afxentiou; Effrosyni Giama; Paris A. Fokaides; Agis M. Papadopoulos,Konstantinos Chatzikonstantinidis; N. Afxentiou; E. Giama; Paris A. Fokaides; Agis M. Papadopoulos,variant
10.36680/j.itcon.2025.060,journal,Journal of Information Technology in Construction,Journal of Information Technology in Construction,J. Inf. Technol. Constr.,substantive
10.36680/j.itcon.2025.060,pages,1478,1478-1478,1478-1496,variant
10.36680/j.itcon.2025.060,authors,Mehdi Ghiai; Marjan Pahlevani,Mohammad Mehdi Ghiai; Marjan Pahlevani,Mehdi Ghiai; Marjan Pahlevani,variant
10.1016/j.seta.2021.101724,year,2022,2021,2022,variant
10.1016/j.seta.2021.101724,authors,Zhong Chen; C.B. Sivaparthipan; BalaAnand Muthu,Zhong Chen; C. B. Sivaparthipan; BalaAnand Muthu,Zhong Chen; C. Sivaparthipan; BalaAnand Muthu,variant
10.1016/j.egyai.2020.100043,year,2021,2020,2021,variant
10.1016/j.egyai.2020.100043,journal,Energy and AI,Energy and AI,,substantive
10.1016/j.egyai.2020.100043,pages,100043,100043-100043,100043,variant
10.1016/j.egyai.2020.100043,authors,Paulo Lissa; Conor Deane; Michael Schukat; Federico Seri; Marcus Keane; Enda Barrett,Paulo Lissa; Conor Deane; Michael Schukat; Federico Seri; Marcus Keane; Enda Barrett,P. Lissa; C. Deane; M. Schukat; F. Seri; M. Keane; E. Barrett,variant
10.1016/j.scs.2021.102852,pages,102852,102852-102852,102852,variant
10.1016/j.scs.2021.102852,authors,Seyed Amir Mansouri; Amir Ahmarinejad; Emad Nematbakhsh; Mohammad Sadegh Javadi; Ahmad Rezaee Jordehi; João P.S. Catalão,Seyed Amir Mansouri; Amir Ahmarinejad; Emad Nematbakhsh; Mohammad Sadegh Javadi; Ahmad Rezaee Jordehi; João P. S. Catalào,S. Mansouri; A. Ahmarinejad; Emad Nematbakhsh; M. Javadi; A. R. Jordehi; J. Catalão,variant
10.3390/s21216978,journal,Sensors,Sensors,"Sensors (Basel, Switzerland)",substantive
10.3390/s21216978,authors,Jesús Jaime Moreno Escobar; Oswaldo Morales Matamoros; Ricardo Tejeida Padilla; Ixchel Lina Reyes; Hugo Quintana Espinosa,Jesús Jaime Moreno Escobar; Oswaldo Morales Matamoros; Ricardo Tejeida Padilla; Ixchel Lina Reyes; Hugo Quintana Espinosa,J. Escobar; O. M. Matamoros; Ricardo Tejeida Padilla; Ixchel Lina Reyes; Hugo Quintana Espinosa,variant
10.1016/j.scs.2018.09.016,year,2019,2018,2019,variant
10.1016/j.scs.2018.09.016,authors,Mohammadreza Shirzadi; Mohammad Naghashzadegan; Parham A. Mirzaei,Mohammadreza Shirzadi; Mohammad Naghashzadegan; Parham A. Mirzaei,M. Shirzadi; M. Naghashzadegan; P. Mirzaei,variant
10.1016/j.enbuild.2018.05.018,authors,Xabat Oregi; Nekane Hermoso; Iñaki Prieto; Jose Luis Izkara; Lara Mabe; Panagiotis Sismanidis,Xabat Oregi; Nekane Hermoso; Iñaki Prieto; José Luis Izkara; Lara Mabe; Panagiotis Sismanidis,X. Oregi; Nekane Hermoso; I. Prieto; J. Izkara; L. Mabe; P. Sismanidis,variant
10.1109/JIOT.2017.2647881,authors,Daniel Minoli; Kazem Sohraby; Benedict Occhiogrosso,Daniel Minoli; K. Sohraby; Benedict Occhiogrosso,D. Minoli; K. Sohraby; B. Occhiogrosso,variant
10.1016/j.rser.2017.09.108,year,2018,2017,2018,variant
10.1016/j.rser.2017.09.108,journal,Renewable and Sustainable Energy Reviews,Renewable and Sustainable Energy Reviews,Renewable & Sustainable Energy Reviews,variant
10.1016/j.rser.2017.09.108,authors,Yixuan Wei; Xingxing Zhang; Yong Shi; Liang Xia; Song Pan; Jinshun Wu; Mengjie Han; Xiaoyun Zhao,Yixuan Wei; Xingxing Zhang; Yong Shi; Liang Xia; Song Pan; Jinshun Wu; Mengjie Han; Xiaoyun Zhao,Yixuan Wei; Xingxing Zhang; Yong-lin Shi; L. Xia; S. Pan; Jinshun Wu; Mengjie Han; Xiaoyun Zhao,variant
10.1109/MIE.2016.2615575,authors,Milos Manic; Kasun Amarasinghe; Juan J. Rodriguez-Andina; Craig Rieger,Milos Manic; Kasun Amarasinghe; Juan J. Rodríguez-Andina; Craig Rieger,M. Manic; Kasun Amarasinghe; J. Rodríguez-Andina; C. Rieger,variant
10.1007/s11135-014-0155-z,year,2016,2015,2015,variant
10.1007/s11135-014-0155-z,journal,Quality &amp; Quantity,Quality & Quantity,Quality & Quantity,variant
10.1007/s11135-014-0155-z,pages,399-420,399-420,399 - 420,variant
10.1007/s11135-014-0155-z,authors,Patrycja Hąbek; Radosław Wolniak,Patrycja Hąbek; Radosław Wolniak,P. Hąbek; R. Wolniak,variant
10.1287/mnsc.2018.3067,journal,Management Science,Management Science,Manag. Sci.,substantive
10.1287/mnsc.2018.3067,authors,Susanna Gallani; Ranjani Krishnan; Eric J. Marinich; Michael D. Shields,Susanna Gallani; Ranjani Krishnan; Eric Marinich; Michael D. Shields,Susanna Gallani; Ranjani Krishnan; Eric J. Marinich; Michael D. Shields,variant
10.1002/csr.2051,year,2021,2020,2020,variant
10.1002/csr.2051,volume,28,28,,substantive
10.2308/JIAR-2021-042,authors,Gang Zhao; Shangkun Liang; Jindan Zhang; Henry He Huang,Gang Zhao; Shangkun Liang; Jindan Zhang; Henry He Huang,Gang Zhao; Shangkun Liang; Jindan Zhang; H. Huang,variant
10.1016/j.jclepro.2020.120513,pages,120513,120513-120513,120513,variant
10.1016/j.jclepro.2020.120513,authors,Enrico Cerioni Spiropulos Gonçalves; Malena Martínez Pérez; Ana Claudia Vici; Jose Carlos Santos Salgado; Mariana de Souza Rocha; Paula Zaghetto de Almeida; Juliana da Conceição Infante; Ana Sílvia de Almeida Scarcella; Rosymar Coutinho de Lucas; Andressa Tironi Vieira; Anízio Márcio de Faria; Antônio Carlos Ferreira Batista; Maria de Lourdes Teixeira de Moraes Polizeli,Enrico Cerioni Spiropulos Gonçalves; Malena M. Pérez; Ana Cláudia Vici; José Carlos Santos Salgado; Mariana de Souza Rocha; Paula Zaghetto de Almeida; Juliana Infante; Ana Sílvia de Almeida Scarcella; Rosymar Coutinho de Lucas; Andressa Tironi Vieira; Anízio M. Faria; Antônio Carlos Ferreira Batista; Maria de Lourdes Teixeira de Moraes Polizeli,Enrico Cerioni Spiropulos Gonçalves; M. Martínez Pérez; A. C. Vici; Jose Carlos Santos Salgado; Mariana de Souza Rocha; Paula Zaghetto de Almeida; Juliana Infante; Ana Sílvia de Almeida Scarcella; Rosymar Coutinho de Lucas; Andressa Tironi Vieira; A. M. de Faria; Antônio Carlos Ferreira Batista; Maria de Lourdes Teixeira de Moraes Polizeli,variant
10.3390/su9030462,pages,462,462-462,1-23,substantive
10.1002/csr.1738,title,Reporting on sustainable development: A comparison of three Italian small and medium‐sized enterprises,Reporting on sustainable development: A comparison of three Italian small and medium‐sized enterprises,Reporting on sustainable development: A comparison of three Italian small and medium-sized enterprises,variant
10.1002/csr.1738,authors,Laura Girella; Stefano Zambon; Paola Rossi,Laura Girella; Stefano Zambon; Paola Rossi,Laura Girella; S. Zambon; Paola Rossi,variant
10.18653/v1/D18-1001,journal,Proceedings of the 2018 Conference on Empirical Methods in Natural Language Processing,,Conference on Empirical Methods in Natural Language Processing,substantive
10.18653/v1/D18-2024,journal,Proceedings of the 2018 Conference on Empirical Methods in Natural Language Processing: System Demonstrations,,Conference on Empirical Methods in Natural Language Processing,substantive
10.18653/v1/D18-2024,authors,Xu Han; Shulin Cao; Xin Lv; Yankai Lin; Zhiyuan Liu; Maosong Sun; Juanzi Li,Xu Han; Shulin Cao; Xin Lv; Yankai Lin; Zhiyuan Liu; Maosong Sun; Juanzi Li,Xu Han; Shulin Cao; Xin Lv; Yankai Lin; Zhiyuan Liu; Maosong Sun; Juan-Zi Li,variant
10.18653/v1/N19-1015,journal,Proceedings of the 2019 Conference of the North,,North American Chapter of the Association for Computational Linguistics,substantive
10.18653/v1/N19-1015,authors,Wenlin Wang; Zhe Gan; Hongteng Xu; Ruiyi Zhang; Guoyin Wang; Dinghan Shen; Changyou Chen; Lawrence Carin,Wenlin Wang; Zhe Gan; Hongteng Xu; Ruiyi Zhang; Guoyin Wang; Dinghan Shen; Changyou Chen; Lawrence Carin,Wenlin Wang; Zhe Gan; Hongteng Xu; Ruiyi Zhang; Guoyin Wang; Dinghan Shen; Changyou Chen; L. Carin,variant
10.18653/v1/D13-1170,journal,Proceedings of the 2013 Conference on Empirical Methods in Natural Language Processing,,Conference on Empirical Methods in Natural Language Processing,substantive
10.18653/v1/D13-1170,authors,Richard Socher; Alex Perelygin; Jean Wu; Jason Chuang; Christopher D. Manning; Andrew Ng; Christopher Potts,Richard Socher; Alex Perelygin; Jean Y. Wu; Jason Chuang; Christopher D. Manning; Andrew Y. Ng; Christopher Potts,R. Socher; Alex Perelygin; Jean Wu; Jason Chuang; Christopher D. Manning; A. Ng; Christopher Potts,variant
10.18653/v1/N19-1021,title,Cyclical Annealing Schedule: A Simple Approach to Mitigating,Cyclical Annealing Schedule: A Simple Approach to Mitigating,Cyclical Annealing Schedule: A Simple Approach to Mitigating KL Vanishing,variant
10.18653/v1/N19-1021,journal,Proceedings of the 2019 Conference of the North,,North American Chapter of the Association for Computational Linguistics,substantive
10.18653/v1/N19-1021,authors,Hao Fu; Chunyuan Li; Xiaodong Liu; Jianfeng Gao; Asli Celikyilmaz; Lawrence Carin,Hao Fu; Chunyuan Li; Xiaodong Liu; Jianfeng Gao; Aslı Çelikyılmaz; Lawrence Carin,Hao Fu; Chunyuan Li; Xiaodong Liu; Jianfeng Gao; Asli Celikyilmaz; L. Carin,variant
10.18653/v1/D15-1054,journal,Proceedings of the 2015 Conference on Empirical Methods in Natural Language Processing,,Conference on Empirical Methods in Natural Language Processing,substantive
10.18653/v1/D15-1054,authors,Sungjin Lee; Yifan Hu,Sung-Jin Lee; Yifan Hu,Sungjin Lee; Yifan Hu,variant
10.1109/ICASSP.2015.7178964,authors,Vassil Panayotov; Guoguo Chen; Daniel Povey; Sanjeev Khudanpur,Vassil Panayotov; Guoguo Chen; Daniel Povey; Sanjeev Khudanpur,Vassil Panayotov; Guoguo Chen; Daniel Povey; S. Khudanpur,variant
10.1007/978-3-319-10602-1_48,journal,Lecture Notes in Computer Science,Lecture notes in computer science,European Conference on Computer Vision,substantive
10.1007/978-3-319-10602-1_48,authors,Tsung-Yi Lin; Michael Maire; Serge Belongie; James Hays; Pietro Perona; Deva Ramanan; Piotr Dollár; C. Lawrence Zitnick,Tsung-Yi Lin; Michael Maire; Serge Belongie; James Hays; Pietro Perona; Deva Ramanan; Piotr Dollár; C. Lawrence Zitnick,Tsung-Yi Lin; M. Maire; Serge J. Belongie; James Hays; P. Perona; Deva Ramanan; Piotr Dollár; C. L. Zitnick,variant
